File path,Total non-comment lines
CombinedDomainXYPlot.java,396
CombinedRangeCategoryPlot.java,307
CombinedRangeXYPlot.java,371
Crosshair.java,298
CrosshairState.java,109
DatasetRenderingOrder.java,5
DefaultDrawingSupplier.java,276
DialShape.java,6
DrawingSupplier.java,12
FastScatterPlot.java,507
IntervalMarker.java,82
Marker.java,268
MeterInterval.java,89
MeterPlot.java,643
package-info.java,1
Pannable.java,11
Plot.java,656
PlotOrientation.java,11
PlotRenderingInfo.java,117
PlotState.java,14
PolarAxisLocation.java,11
PolarPlot.java,988
RingPlot.java,331
SeriesRenderingOrder.java,5
SpiderWebPlot.java,677
ThermometerPlot.java,764
ValueAxisPlot.java,6
ValueMarker.java,43
WaferMapPlot.java,237
XYCrosshairState.java,6
XYPlot.java,2732
Zoomable.java,18
ArrowNeedle.java,78
CompassPlot.java,438
LineNeedle.java,41
LongNeedle.java,87
MeterNeedle.java,178
MiddlePinNeedle.java,61
package-info.java,1
PinNeedle.java,59
PlumNeedle.java,51
PointerNeedle.java,70
ShipNeedle.java,49
WindNeedle.java,45
AbstractDialLayer.java,74
ArcDialFrame.java,228
DialBackground.java,100
DialCap.java,131
DialFrame.java,7
DialLayer.java,14
DialLayerChangeEvent.java,12
DialLayerChangeListener.java,5
DialPlot.java,373
DialPointer.java,279
DialScale.java,5
DialTextAnnotation.java,159
DialValueIndicator.java,327
package-info.java,1
StandardDialFrame.java,149
StandardDialRange.java,181
StandardDialScale.java,417
FlowPlot.java,455
package-info.java,1
AbstractPieLabelDistributor.java,24
MultiplePiePlot.java,355
package-info.java,1
PieLabelDistributor.java,106
PieLabelLinkStyle.java,6
PieLabelRecord.java,114
PiePlot.java,1547
PiePlotState.java,81
AbstractRenderer.java,1235
AreaRendererEndType.java,6
DefaultPolarItemRenderer.java,487
GrayPaintScale.java,82
LookupPaintScale.java,179
NotOutlierException.java,6
Outlier.java,70
OutlierList.java,49
OutlierListCollection.java,49
package-info.java,1
PaintScale.java,8
PolarItemRenderer.java,35
RendererState.java,31
RendererUtils.java,153
WaferMapRenderer.java,204
AbstractCategoryItemRenderer.java,925
AreaRenderer.java,192
BarPainter.java,11
BarRenderer.java,683
BoxAndWhiskerRenderer.java,596
CategoryItemRenderer.java,170
CategoryItemRendererState.java,64
CategoryStepRenderer.java,174
DefaultCategoryItemRenderer.java,7
GanttRenderer.java,351
GradientBarPainter.java,214
GroupedStackedBarRenderer.java,218
IntervalBarRenderer.java,117
LayeredBarRenderer.java,291
LevelRenderer.java,222
LineAndShapeRenderer.java,379
MinMaxCategoryRenderer.java,268
package-info.java,1
ScatterRenderer.java,269
StackedAreaRenderer.java,284
StackedBarRenderer.java,216
StandardBarPainter.java,106
StatisticalBarRenderer.java,342
StatisticalLineAndShapeRenderer.java,269
WaterfallBarRenderer.java,261
AbstractXYItemRenderer.java,974
CandlestickRenderer.java,429
ClusteredXYBarRenderer.java,200
CyclicXYItemRenderer.java,249
DefaultXYItemRenderer.java,6
DeviationRenderer.java,168
DeviationStepRenderer.java,173
GradientXYBarPainter.java,214
HighLowRenderer.java,243
package-info.java,1
SamplingXYLineRenderer.java,170
StackedXYAreaRenderer.java,335
StackedXYAreaRenderer2.java,325
StackedXYBarRenderer.java,224
StandardXYBarPainter.java,106
StandardXYItemRenderer.java,466
VectorRenderer.java,207
WindItemRenderer.java,84
XYAreaRenderer.java,387
XYAreaRenderer2.java,234
XYBarPainter.java,11
XYBarRenderer.java,623
XYBlockRenderer.java,258
XYBoxAndWhiskerRenderer.java,434
XYBubbleRenderer.java,192
XYDifferenceRenderer.java,708
XYDotRenderer.java,169
XYErrorRenderer.java,213
XYItemRenderer.java,169
XYItemRendererState.java,37
XYLineAndShapeRenderer.java,521
XYShapeRenderer.java,272
XYSplineRenderer.java,258
XYStepAreaRenderer.java,293
XYStepRenderer.java,167
YIntervalRenderer.java,142
AbstractOverlay.java,32
ApplicationFrame.java,35
ChartFrame.java,25
ChartMouseEvent.java,28
ChartMouseListener.java,7
ChartPanel.java,1575
CrosshairOverlay.java,398
DefaultSelectionZoomStrategy.java,156
MouseWheelHandler.java,65
NumberCellRenderer.java,30
Overlay.java,7
OverlayChangeEvent.java,7
OverlayChangeListener.java,5
package-info.java,1
PolarChartPanel.java,116
SelectionZoomStrategy.java,24
UIUtils.java,85
ChartEditor.java,6
ChartEditorFactory.java,5
ChartEditorManager.java,18
DefaultAxisEditor.java,221
DefaultChartEditor.java,143
